STATE,Date,Home Value,Structure Cost,Land Value,Land Share (Pct),Home Price Index,Land Price Index
AL,1975Q1,"$24,784 ","$23,545 ","$1,239 ",5.00%,0.222,0
AL,1975Q2,"$25,102 ","$23,847 ","$1,255 ",5.00%,0.225,0
AL,1975Q3,"$25,472 ","$24,199 ","$1,274 ",5.00%,0.228,0
AL,1975Q4,"$25,903 ","$24,608 ","$1,295 ",5.00%,0.232,0
AL,1976Q1,"$26,447 ","$25,125 ","$1,322 ",5.00%,0.237,0
AL,1976Q2,"$27,059 ","$25,696 ","$1,363 ",5.00%,0.242,0
AL,1976Q3,"$27,748 ","$26,135 ","$1,613 ",5.80%,0.248,0
AL,1976Q4,"$28,532 ","$26,654 ","$1,878 ",6.60%,0.255,0
AL,1977Q1,"$29,394 ","$27,217 ","$2,177 ",7.40%,0.263,0
AL,1977Q2,"$30,306 ","$27,804 ","$2,502 ",8.30%,0.271,0
AL,1977Q3,"$31,232 ","$28,388 ","$2,844 ",9.10%,0.28,0
AL,1977Q4,"$32,124 ","$28,945 ","$3,179 ",9.90%,0.288,0
AL,1978Q1,"$33,016 ","$29,468 ","$3,548 ",10.70%,0.296,0
AL,1978Q2,"$33,973 ","$29,978 ","$3,995 ",11.80%,0.304,0
AL,1978Q3,"$35,000 ","$30,524 ","$4,476 ",12.80%,0.313,0
AL,1978Q4,"$35,986 ","$31,152 ","$4,834 ",13.40%,0.322,0
AL,1979Q1,"$36,897 ","$31,886 ","$5,011 ",13.60%,0.33,0
AL,1979Q2,"$37,708 ","$32,707 ","$5,000 ",13.30%,0.338,0
AL,1979Q3,"$38,430 ","$33,568 ","$4,862 ",12.70%,0.344,0
AL,1979Q4,"$39,064 ","$34,425 ","$4,640 ",11.90%,0.35,0
AL,1980Q1,"$39,593 ","$35,239 ","$4,354 ",11.00%,0.354,0
AL,1980Q2,"$40,193 ","$36,006 ","$4,187 ",10.40%,0.36,0
AL,1980Q3,"$40,852 ","$36,720 ","$4,131 ",10.10%,0.366,0
AL,1980Q4,"$41,428 ","$37,379 ","$4,049 ",9.80%,0.371,0
AL,1981Q1,"$41,923 ","$37,990 ","$3,933 ",9.40%,0.375,0
AL,1981Q2,"$42,378 ","$38,577 ","$3,800 ",9.00%,0.379,0
AL,1981Q3,"$42,751 ","$39,184 ","$3,566 ",8.30%,0.383,0
AL,1981Q4,"$43,025 ","$39,851 ","$3,174 ",7.40%,0.385,0
AL,1982Q1,"$43,327 ","$40,598 ","$2,728 ",6.30%,0.388,0
AL,1982Q2,"$43,738 ","$41,372 ","$2,366 ",5.40%,0.392,0
AL,1982Q3,"$44,314 ","$42,099 ","$2,216 ",5.00%,0.397,0
AL,1982Q4,"$45,055 ","$42,802 ","$2,253 ",5.00%,0.403,0
AL,1983Q1,"$45,821 ","$43,530 ","$2,291 ",5.00%,0.41,0
AL,1983Q2,"$46,585 ","$44,255 ","$2,329 ",5.00%,0.417,0
AL,1983Q3,"$47,367 ","$44,999 ","$2,368 ",5.00%,0.424,0
AL,1983Q4,"$48,162 ","$45,754 ","$2,408 ",5.00%,0.431,0
AL,1984Q1,"$48,992 ","$46,542 ","$2,450 ",5.00%,0.439,0
AL,1984Q2,"$49,736 ","$47,249 ","$2,487 ",5.00%,0.445,0.001
AL,1984Q3,"$50,417 ","$47,897 ","$2,521 ",5.00%,0.451,0.001
AL,1984Q4,"$51,032 ","$48,480 ","$2,552 ",5.00%,0.457,0.001
AL,1985Q1,"$51,697 ","$49,112 ","$2,585 ",5.00%,0.463,0.001
AL,1985Q2,"$52,485 ","$49,861 ","$2,624 ",5.00%,0.47,0.001
AL,1985Q3,"$53,375 ","$50,707 ","$2,669 ",5.00%,0.478,0.001
AL,1985Q4,"$54,328 ","$51,611 ","$2,716 ",5.00%,0.486,0.001
AL,1986Q1,"$55,337 ","$52,570 ","$2,767 ",5.00%,0.495,0.002
AL,1986Q2,"$56,396 ","$53,576 ","$2,820 ",5.00%,0.505,0.002
AL,1986Q3,"$57,465 ","$54,592 ","$2,873 ",5.00%,0.514,0.003
AL,1986Q4,"$58,500 ","$55,575 ","$2,925 ",5.00%,0.524,0.004
AL,1987Q1,"$59,450 ","$56,478 ","$2,973 ",5.00%,0.532,0.005
AL,1987Q2,"$60,285 ","$57,271 ","$3,014 ",5.00%,0.54,0.006
AL,1987Q3,"$61,010 ","$57,959 ","$3,050 ",5.00%,0.546,0.006
AL,1987Q4,"$61,662 ","$58,579 ","$3,083 ",5.00%,0.552,0.007
AL,1988Q1,"$62,297 ","$59,183 ","$3,115 ",5.00%,0.558,0.008
AL,1988Q2,"$62,863 ","$59,719 ","$3,143 ",5.00%,0.563,0.009
AL,1988Q3,"$63,355 ","$60,187 ","$3,168 ",5.00%,0.567,0.009
AL,1988Q4,"$63,831 ","$60,640 ","$3,192 ",5.00%,0.571,0.01
AL,1989Q1,"$64,371 ","$61,153 ","$3,219 ",5.00%,0.576,0.01
AL,1989Q2,"$64,999 ","$61,749 ","$3,250 ",5.00%,0.582,0.011
AL,1989Q3,"$65,675 ","$62,391 ","$3,284 ",5.00%,0.588,0.012
AL,1989Q4,"$66,333 ","$63,016 ","$3,317 ",5.00%,0.594,0.014
AL,1990Q1,"$66,950 ","$63,603 ","$3,348 ",5.00%,0.599,0.015
AL,1990Q2,"$67,566 ","$64,188 ","$3,378 ",5.00%,0.605,0.017
AL,1990Q3,"$68,127 ","$64,721 ","$3,406 ",5.00%,0.61,0.019
AL,1990Q4,"$68,740 ","$65,303 ","$3,437 ",5.00%,0.615,0.021
AL,1991Q1,"$69,440 ","$65,968 ","$3,472 ",5.00%,0.622,0.023
AL,1991Q2,"$70,226 ","$66,714 ","$3,511 ",5.00%,0.629,0.027
AL,1991Q3,"$71,081 ","$67,527 ","$3,554 ",5.00%,0.636,0.031
AL,1991Q4,"$72,000 ","$68,400 ","$3,600 ",5.00%,0.645,0.037
AL,1992Q1,"$72,984 ","$69,335 ","$3,649 ",5.00%,0.653,0.045
AL,1992Q2,"$74,027 ","$70,325 ","$3,701 ",5.00%,0.663,0.055
AL,1992Q3,"$75,151 ","$71,393 ","$3,758 ",5.00%,0.673,0.068
AL,1992Q4,"$76,326 ","$72,510 ","$3,816 ",5.00%,0.683,0.083
AL,1993Q1,"$77,520 ","$73,644 ","$3,876 ",5.00%,0.694,0.1
AL,1993Q2,"$78,729 ","$74,793 ","$3,936 ",5.00%,0.705,0.117
AL,1993Q3,"$79,963 ","$75,965 ","$3,998 ",5.00%,0.716,0.137
AL,1993Q4,"$81,199 ","$77,139 ","$4,060 ",5.00%,0.727,0.162
AL,1994Q1,"$82,416 ","$78,295 ","$4,121 ",5.00%,0.738,0.193
AL,1994Q2,"$83,592 ","$79,236 ","$4,356 ",5.20%,0.748,0.23
AL,1994Q3,"$84,709 ","$79,655 ","$5,054 ",6.00%,0.758,0.267
AL,1994Q4,"$85,789 ","$80,168 ","$5,621 ",6.60%,0.768,0.297
AL,1995Q1,"$86,859 ","$80,826 ","$6,033 ",6.90%,0.778,0.32
AL,1995Q2,"$87,945 ","$81,578 ","$6,367 ",7.20%,0.787,0.338
AL,1995Q3,"$89,070 ","$82,368 ","$6,703 ",7.50%,0.797,0.356
AL,1995Q4,"$90,222 ","$83,132 ","$7,090 ",7.90%,0.808,0.377
AL,1996Q1,"$91,396 ","$83,815 ","$7,580 ",8.30%,0.818,0.403
AL,1996Q2,"$92,569 ","$84,412 ","$8,157 ",8.80%,0.829,0.434
AL,1996Q3,"$93,707 ","$84,911 ","$8,796 ",9.40%,0.839,0.468
AL,1996Q4,"$94,808 ","$85,305 ","$9,503 ",10.00%,0.849,0.507
AL,1997Q1,"$95,868 ","$85,605 ","$10,263 ",10.70%,0.858,0.548
AL,1997Q2,"$96,902 ","$85,893 ","$11,009 ",11.40%,0.867,0.589
AL,1997Q3,"$97,964 ","$86,266 ","$11,698 ",11.90%,0.877,0.627
AL,1997Q4,"$99,076 ","$86,822 ","$12,254 ",12.40%,0.887,0.658
AL,1998Q1,"$100,276 ","$87,634 ","$12,642 ",12.60%,0.898,0.681
AL,1998Q2,"$101,564 ","$88,587 ","$12,977 ",12.80%,0.909,0.701
AL,1998Q3,"$102,910 ","$89,570 ","$13,340 ",13.00%,0.921,0.722
AL,1998Q4,"$104,268 ","$90,459 ","$13,809 ",13.20%,0.933,0.748
AL,1999Q1,"$105,595 ","$91,163 ","$14,433 ",13.70%,0.945,0.783
AL,1999Q2,"$106,887 ","$91,703 ","$15,184 ",14.20%,0.957,0.825
AL,1999Q3,"$108,149 ","$92,138 ","$16,011 ",14.80%,0.968,0.871
AL,1999Q4,"$109,385 ","$92,525 ","$16,860 ",15.40%,0.979,0.917
AL,2000Q1,"$110,576 ","$92,878 ","$17,698 ",16.00%,0.99,0.961
AL,2000Q2,"$111,712 ","$93,322 ","$18,391 ",16.50%,1,1
AL,2000Q3,"$112,820 ","$93,847 ","$18,972 ",16.80%,1.01,1.033
AL,2000Q4,"$113,942 ","$94,485 ","$19,457 ",17.10%,1.02,1.062
AL,2001Q1,"$115,115 ","$95,311 ","$19,804 ",17.20%,1.03,1.087
AL,2001Q2,"$116,336 ","$96,164 ","$20,172 ",17.30%,1.041,1.109
AL,2001Q3,"$117,599 ","$97,065 ","$20,533 ",17.50%,1.053,1.131
AL,2001Q4,"$118,914 ","$97,980 ","$20,933 ",17.60%,1.064,1.154
AL,2002Q1,"$120,296 ","$98,822 ","$21,474 ",17.90%,1.077,1.181
AL,2002Q2,"$121,756 ","$99,629 ","$22,126 ",18.20%,1.09,1.218
AL,2002Q3,"$123,309 ","$100,282 ","$23,027 ",18.70%,1.104,1.268
AL,2002Q4,"$124,959 ","$100,701 ","$24,258 ",19.40%,1.119,1.338
AL,2003Q1,"$126,668 ","$100,911 ","$25,757 ",20.30%,1.134,1.424
AL,2003Q2,"$128,440 ","$101,137 ","$27,303 ",21.30%,1.15,1.511
AL,2003Q3,"$130,277 ","$101,766 ","$28,511 ",21.90%,1.166,1.579
AL,2003Q4,"$132,180 ","$103,160 ","$29,020 ",22.00%,1.183,1.609
AL,2004Q1,"$134,247 ","$105,522 ","$28,726 ",21.40%,1.202,1.593
AL,2004Q2,"$136,569 ","$108,530 ","$28,039 ",20.50%,1.223,1.556
AL,2004Q3,"$139,172 ","$111,669 ","$27,504 ",19.80%,1.246,1.528
AL,2004Q4,"$142,034 ","$114,435 ","$27,599 ",19.40%,1.271,1.535
AL,2005Q1,"$145,178 ","$116,480 ","$28,698 ",19.80%,1.3,1.598
AL,2005Q2,"$148,607 ","$118,097 ","$30,510 ",20.50%,1.33,1.701
AL,2005Q3,"$152,310 ","$119,719 ","$32,591 ",21.40%,1.363,1.82
AL,2005Q4,"$156,196 ","$121,783 ","$34,413 ",22.00%,1.398,1.925
AL,2006Q1,"$160,083 ","$124,571 ","$35,511 ",22.20%,1.433,1.991
AL,2006Q2,"$163,778 ","$127,684 ","$36,094 ",22.00%,1.466,2.027
AL,2006Q3,"$167,140 ","$130,589 ","$36,552 ",21.90%,1.496,2.057
AL,2006Q4,"$170,067 ","$132,743 ","$37,324 ",21.90%,1.522,2.105
AL,2007Q1,"$172,456 ","$133,837 ","$38,620 ",22.40%,1.544,2.184
AL,2007Q2,"$174,223 ","$134,313 ","$39,910 ",22.90%,1.56,2.261
AL,2007Q3,"$175,290 ","$134,896 ","$40,393 ",23.00%,1.569,2.293
AL,2007Q4,"$175,692 ","$136,289 ","$39,402 ",22.40%,1.573,2.24
AL,2008Q1,"$175,510 ","$138,941 ","$36,569 ",20.80%,1.571,2.082
AL,2008Q2,"$174,910 ","$142,223 ","$32,686 ",18.70%,1.566,1.863
AL,2008Q3,"$174,101 ","$145,271 ","$28,830 ",16.60%,1.558,1.645
AL,2008Q4,"$173,294 ","$147,213 ","$26,081 ",15.10%,1.551,1.489
AL,2009Q1,"$172,550 ","$147,445 ","$25,105 ",14.50%,1.545,1.433
AL,2009Q2,"$171,734 ","$146,471 ","$25,263 ",14.70%,1.537,1.443
AL,2009Q3,"$170,753 ","$145,055 ","$25,698 ",15.00%,1.529,1.468
AL,2009Q4,"$169,555 ","$143,965 ","$25,590 ",15.10%,1.518,1.462
AL,2010Q1,"$167,816 ","$143,761 ","$24,055 ",14.30%,1.502,1.372
AL,2010Q2,"$165,802 ","$144,427 ","$21,376 ",12.90%,1.484,1.219
AL,2010Q3,"$163,759 ","$145,655 ","$18,104 ",11.10%,1.466,1.033
AL,2010Q4,"$161,897 ","$147,172 ","$14,724 ",9.10%,1.449,0.841
AL,2011Q1,"$160,573 ","$148,751 ","$11,821 ",7.40%,1.437,0.676
AL,2011Q2,"$160,046 ","$150,281 ","$9,765 ",6.10%,1.433,0.559
AL,2011Q3,"$160,370 ","$151,720 ","$8,650 ",5.40%,1.436,0.495
AL,2011Q4,"$161,407 ","$153,016 ","$8,391 ",5.20%,1.445,0.481
AL,2012Q1,"$162,965 ","$154,141 ","$8,824 ",5.40%,1.459,0.506
AL,2012Q2,"$164,767 ","$155,168 ","$9,600 ",5.80%,1.475,0.55
AL,2012Q3,"$166,631 ","$156,190 ","$10,441 ",6.30%,1.492,0.599
AL,2012Q4,"$168,628 ","$157,302 ","$11,326 ",6.70%,1.509,0.65
AL,2013Q1,"$170,683 ","$158,574 ","$12,109 ",7.10%,1.528,0.695
AL,2013Q2,"$172,782 ","$159,985 ","$12,798 ",7.40%,1.547,0.735
AL,2013Q3,"$174,874 ","$161,488 ","$13,386 ",7.70%,1.565,0.769
AL,2013Q4,"$176,896 ","$163,038 ","$13,859 ",7.80%,1.583,0.797
AL,2014Q1,"$178,893 ","$166,017 ","$12,876 ",7.20%,1.601,0.741
AL,2014Q2,"$180,962 ","$166,086 ","$14,876 ",8.20%,1.62,0.857
AL,2014Q3,"$183,210 ","$169,512 ","$13,699 ",7.50%,1.64,0.789
AL,2014Q4,"$185,572 ","$172,845 ","$12,727 ",6.90%,1.661,0.734
AL,2015Q1,"$187,849 ","$172,905 ","$14,945 ",8.00%,1.682,0.862
AL,2015Q2,"$190,092 ","$171,133 ","$18,959 ",10.00%,1.702,1.095
AL,2015Q3,"$192,155 ","$171,945 ","$20,210 ",10.50%,1.72,1.168
AL,2015Q4,"$194,063 ","$173,452 ","$20,611 ",10.60%,1.737,1.192
AL,2016Q1,"$195,946 ","$175,061 ","$20,886 ",10.70%,1.754,1.209
AK,1975Q1,"$53,765 ","$39,548 ","$14,218 ",26.40%,0.354,0.066
AK,1975Q2,"$55,531 ","$40,933 ","$14,598 ",26.30%,0.365,0.069
AK,1975Q3,"$57,322 ","$42,470 ","$14,852 ",25.90%,0.377,0.071
AK,1975Q4,"$59,079 ","$44,034 ","$15,044 ",25.50%,0.389,0.073
AK,1976Q1,"$60,772 ","$45,540 ","$15,232 ",25.10%,0.4,0.075
AK,1976Q2,"$62,357 ","$46,902 ","$15,455 ",24.80%,0.41,0.077
AK,1976Q3,"$63,841 ","$48,126 ","$15,714 ",24.60%,0.42,0.079
AK,1976Q4,"$65,255 ","$49,197 ","$16,057 ",24.60%,0.429,0.081
AK,1977Q1,"$66,586 ","$50,007 ","$16,579 ",24.90%,0.438,0.084
AK,1977Q2,"$67,768 ","$50,860 ","$16,908 ",24.90%,0.446,0.086
AK,1977Q3,"$69,124 ","$51,720 ","$17,404 ",25.20%,0.455,0.089
AK,1977Q4,"$70,688 ","$52,653 ","$18,034 ",25.50%,0.465,0.092
AK,1978Q1,"$72,622 ","$53,774 ","$18,848 ",26.00%,0.478,0.097
AK,1978Q2,"$74,981 ","$55,007 ","$19,974 ",26.60%,0.494,0.104
AK,1978Q3,"$77,392 ","$56,433 ","$20,959 ",27.10%,0.509,0.109
AK,1978Q4,"$79,657 ","$58,084 ","$21,573 ",27.10%,0.524,0.113
AK,1979Q1,"$81,623 ","$59,913 ","$21,710 ",26.60%,0.537,0.113
AK,1979Q2,"$82,957 ","$61,782 ","$21,175 ",25.50%,0.546,0.111
AK,1979Q3,"$83,186 ","$63,399 ","$19,787 ",23.80%,0.548,0.104
AK,1979Q4,"$82,430 ","$64,504 ","$17,927 ",21.70%,0.543,0.094
AK,1980Q1,"$81,067 ","$64,874 ","$16,193 ",20.00%,0.534,0.085
AK,1980Q2,"$79,814 ","$64,860 ","$14,953 ",18.70%,0.525,0.079
AK,1980Q3,"$80,332 ","$64,719 ","$15,614 ",19.40%,0.529,0.083
AK,1980Q4,"$83,683 ","$64,777 ","$18,906 ",22.60%,0.551,0.101
AK,1981Q1,"$89,275 ","$65,288 ","$23,987 ",26.90%,0.588,0.129
AK,1981Q2,"$96,560 ","$66,283 ","$30,276 ",31.40%,0.636,0.164
AK,1981Q3,"$104,374 ","$67,676 ","$36,698 ",35.20%,0.687,0.2
AK,1981Q4,"$111,767 ","$69,382 ","$42,386 ",37.90%,0.736,0.234
AK,1982Q1,"$117,928 ","$71,439 ","$46,489 ",39.40%,0.776,0.261
AK,1982Q2,"$122,610 ","$73,547 ","$49,062 ",40.00%,0.807,0.279
AK,1982Q3,"$126,214 ","$75,832 ","$50,383 ",39.90%,0.831,0.291
AK,1982Q4,"$128,845 ","$78,298 ","$50,547 ",39.20%,0.848,0.295
AK,1983Q1,"$130,937 ","$81,067 ","$49,869 ",38.10%,0.862,0.296
AK,1983Q2,"$132,916 ","$83,642 ","$49,274 ",37.10%,0.875,0.297
AK,1983Q3,"$134,945 ","$85,986 ","$48,958 ",36.30%,0.888,0.298
AK,1983Q4,"$136,877 ","$87,914 ","$48,963 ",35.80%,0.901,0.301
AK,1984Q1,"$138,563 ","$89,278 ","$49,285 ",35.60%,0.912,0.306
AK,1984Q2,"$139,791 ","$90,216 ","$49,576 ",35.50%,0.92,0.311
AK,1984Q3,"$140,481 ","$90,868 ","$49,613 ",35.30%,0.925,0.314
AK,1984Q4,"$140,405 ","$91,394 ","$49,011 ",34.90%,0.924,0.313
AK,1985Q1,"$139,735 ","$91,930 ","$47,805 ",34.20%,0.92,0.307
AK,1985Q2,"$138,909 ","$92,485 ","$46,424 ",33.40%,0.914,0.3
AK,1985Q3,"$138,048 ","$93,056 ","$44,991 ",32.60%,0.909,0.293
AK,1985Q4,"$137,096 ","$93,635 ","$43,461 ",31.70%,0.902,0.285
AK,1986Q1,"$135,973 ","$94,312 ","$41,662 ",30.60%,0.895,0.275
AK,1986Q2,"$134,353 ","$94,846 ","$39,507 ",29.40%,0.884,0.262
AK,1986Q3,"$131,869 ","$95,334 ","$36,535 ",27.70%,0.868,0.242
AK,1986Q4,"$128,527 ","$95,778 ","$32,748 ",25.50%,0.846,0.217
AK,1987Q1,"$124,554 ","$96,028 ","$28,526 ",22.90%,0.82,0.188
AK,1987Q2,"$120,442 ","$96,452 ","$23,990 ",19.90%,0.793,0.158
AK,1987Q3,"$117,058 ","$96,883 ","$20,175 ",17.20%,0.77,0.133
AK,1987Q4,"$115,230 ","$97,310 ","$17,920 ",15.60%,0.758,0.118
AK,1988Q1,"$115,279 ","$97,754 ","$17,525 ",15.20%,0.759,0.116
AK,1988Q2,"$116,141 ","$98,177 ","$17,964 ",15.50%,0.764,0.119
AK,1988Q3,"$116,957 ","$98,618 ","$18,339 ",15.70%,0.77,0.122
AK,1988Q4,"$116,487 ","$99,090 ","$17,396 ",14.90%,0.767,0.116
AK,1989Q1,"$114,139 ","$99,616 ","$14,523 ",12.70%,0.751,0.097
AK,1989Q2,"$110,591 ","$100,130 ","$10,461 ",9.50%,0.728,0.07
AK,1989Q3,"$107,682 ","$100,630 ","$7,051 ",6.50%,0.709,0.047
AK,1989Q4,"$106,419 ","$101,098 ","$5,321 ",5.00%,0.7,0.036
AK,1990Q1,"$107,277 ","$101,914 ","$5,364 ",5.00%,0.706,0.039
AK,1990Q2,"$110,159 ","$104,651 ","$5,508 ",5.00%,0.725,0.057
AK,1990Q3,"$113,454 ","$107,781 ","$5,673 ",5.00%,0.747,0.088
AK,1990Q4,"$116,642 ","$110,810 ","$5,832 ",5.00%,0.768,0.134
AK,1991Q1,"$119,399 ","$113,429 ","$5,970 ",5.00%,0.786,0.193
AK,1991Q2,"$121,481 ","$115,407 ","$6,074 ",5.00%,0.8,0.254
AK,1991Q3,"$122,949 ","$116,269 ","$6,680 ",5.40%,0.809,0.305
AK,1991Q4,"$123,941 ","$116,741 ","$7,201 ",5.80%,0.816,0.329
AK,1992Q1,"$124,616 ","$117,458 ","$7,157 ",5.70%,0.82,0.328
AK,1992Q2,"$125,142 ","$118,301 ","$6,841 ",5.50%,0.824,0.314
AK,1992Q3,"$125,624 ","$119,148 ","$6,476 ",5.20%,0.827,0.297
AK,1992Q4,"$126,175 ","$119,867 ","$6,309 ",5.00%,0.83,0.29
AK,1993Q1,"$126,903 ","$120,557 ","$6,345 ",5.00%,0.835,0.3
AK,1993Q2,"$127,832 ","$121,440 ","$6,392 ",5.00%,0.841,0.326
AK,1993Q3,"$128,890 ","$122,445 ","$6,444 ",5.00%,0.848,0.36
AK,1993Q4,"$129,965 ","$123,166 ","$6,799 ",5.20%,0.855,0.389
AK,1994Q1,"$130,900 ","$123,960 ","$6,940 ",5.30%,0.862,0.397
AK,1994Q2,"$131,733 ","$124,921 ","$6,812 ",5.20%,0.867,0.39
AK,1994Q3,"$132,580 ","$125,924 ","$6,656 ",5.00%,0.873,0.381
AK,1994Q4,"$133,522 ","$126,846 ","$6,676 ",5.00%,0.879,0.383
AK,1995Q1,"$134,650 ","$127,917 ","$6,732 ",5.00%,0.886,0.405
AK,1995Q2,"$135,859 ","$129,066 ","$6,793 ",5.00%,0.894,0.442
AK,1995Q3,"$137,067 ","$130,214 ","$6,853 ",5.00%,0.902,0.49
AK,1995Q4,"$138,219 ","$131,308 ","$6,911 ",5.00%,0.91,0.543
AK,1996Q1,"$139,289 ","$132,325 ","$6,964 ",5.00%,0.917,0.597
AK,1996Q2,"$140,206 ","$133,196 ","$7,010 ",5.00%,0.923,0.643
AK,1996Q3,"$141,036 ","$133,984 ","$7,052 ",5.00%,0.928,0.685
AK,1996Q4,"$141,827 ","$134,735 ","$7,091 ",5.00%,0.933,0.725
AK,1997Q1,"$142,517 ","$135,392 ","$7,126 ",5.00%,0.938,0.755
AK,1997Q2,"$143,173 ","$136,014 ","$7,159 ",5.00%,0.942,0.781
AK,1997Q3,"$143,862 ","$136,669 ","$7,193 ",5.00%,0.947,0.808
AK,1997Q4,"$144,632 ","$137,401 ","$7,232 ",5.00%,0.952,0.843
AK,1998Q1,"$145,506 ","$138,231 ","$7,275 ",5.00%,0.958,0.888
AK,1998Q2,"$146,496 ","$139,171 ","$7,325 ",5.00%,0.964,0.948
AK,1998Q3,"$147,486 ","$139,802 ","$7,684 ",5.20%,0.971,1.01
AK,1998Q4,"$148,379 ","$140,322 ","$8,057 ",5.40%,0.977,1.059
AK,1999Q1,"$149,081 ","$140,842 ","$8,239 ",5.50%,0.981,1.084
AK,1999Q2,"$149,578 ","$141,383 ","$8,195 ",5.50%,0.984,1.079
AK,1999Q3,"$149,939 ","$141,974 ","$7,965 ",5.30%,0.987,1.049
AK,1999Q4,"$150,319 ","$142,643 ","$7,677 ",5.10%,0.989,1.011
AK,2000Q1,"$150,974 ","$143,415 ","$7,559 ",5.00%,0.994,0.995
AK,2000Q2,"$151,936 ","$144,339 ","$7,597 ",5.00%,1,1
AK,2000Q3,"$153,198 ","$145,449 ","$7,748 ",5.10%,1.008,1.02
AK,2000Q4,"$154,782 ","$146,785 ","$7,997 ",5.20%,1.019,1.054
AK,2001Q1,"$156,707 ","$148,365 ","$8,342 ",5.30%,1.031,1.101
AK,2001Q2,"$158,852 ","$150,083 ","$8,770 ",5.50%,1.046,1.159
AK,2001Q3,"$161,105 ","$151,823 ","$9,282 ",5.80%,1.06,1.228
AK,2001Q4,"$163,387 ","$153,467 ","$9,920 ",6.10%,1.075,1.314
AK,2002Q1,"$165,653 ","$154,901 ","$10,752 ",6.50%,1.09,1.425
AK,2002Q2,"$167,974 ","$156,071 ","$11,903 ",7.10%,1.106,1.579
AK,2002Q3,"$170,367 ","$156,918 ","$13,449 ",7.90%,1.121,1.787
AK,2002Q4,"$172,814 ","$157,389 ","$15,425 ",8.90%,1.137,2.054
AK,2003Q1,"$175,431 ","$157,535 ","$17,897 ",10.20%,1.155,2.388
AK,2003Q2,"$178,310 ","$157,805 ","$20,504 ",11.50%,1.174,2.743
AK,2003Q3,"$181,559 ","$158,761 ","$22,798 ",12.60%,1.195,3.057
AK,2003Q4,"$185,255 ","$160,960 ","$24,295 ",13.10%,1.219,3.265
AK,2004Q1,"$189,271 ","$164,744 ","$24,527 ",13.00%,1.246,3.305
AK,2004Q2,"$193,558 ","$169,539 ","$24,019 ",12.40%,1.274,3.243
AK,2004Q3,"$198,179 ","$174,581 ","$23,598 ",11.90%,1.304,3.193
AK,2004Q4,"$203,028 ","$179,099 ","$23,930 ",11.80%,1.336,3.243
AK,2005Q1,"$207,991 ","$182,518 ","$25,473 ",12.20%,1.369,3.457
AK,2005Q2,"$212,921 ","$185,121 ","$27,800 ",13.10%,1.401,3.779
AK,2005Q3,"$217,687 ","$187,365 ","$30,322 ",13.90%,1.433,4.129
AK,2005Q4,"$222,056 ","$189,715 ","$32,341 ",14.60%,1.462,4.412
AK,2006Q1,"$225,891 ","$192,489 ","$33,403 ",14.80%,1.487,4.565
AK,2006Q2,"$229,100 ","$195,408 ","$33,692 ",14.70%,1.508,4.612
AK,2006Q3,"$231,644 ","$198,051 ","$33,593 ",14.50%,1.525,4.606
AK,2006Q4,"$233,557 ","$199,995 ","$33,562 ",14.40%,1.537,4.61
AK,2007Q1,"$234,839 ","$201,009 ","$33,830 ",14.40%,1.546,4.655
AK,2007Q2,"$235,383 ","$201,570 ","$33,813 ",14.40%,1.549,4.66
AK,2007Q3,"$235,144 ","$202,363 ","$32,781 ",13.90%,1.548,4.525
AK,2007Q4,"$234,380 ","$204,067 ","$30,313 ",12.90%,1.543,4.189
AK,2008Q1,"$233,443 ","$207,073 ","$26,370 ",11.30%,1.536,3.647
AK,2008Q2,"$232,547 ","$210,699 ","$21,848 ",9.40%,1.531,3.024
AK,2008Q3,"$231,524 ","$213,951 ","$17,573 ",7.60%,1.524,2.435
AK,2008Q4,"$230,278 ","$215,845 ","$14,434 ",6.30%,1.516,2.001
AK,2009Q1,"$228,596 ","$215,733 ","$12,863 ",5.60%,1.505,1.784
AK,2009Q2,"$226,597 ","$214,286 ","$12,310 ",5.40%,1.491,1.709
AK,2009Q3,"$224,964 ","$212,512 ","$12,451 ",5.50%,1.481,1.729
AK,2009Q4,"$224,081 ","$211,416 ","$12,665 ",5.70%,1.475,1.759
AK,2010Q1,"$223,978 ","$211,747 ","$12,231 ",5.50%,1.474,1.699
AK,2010Q2,"$224,511 ","$213,282 ","$11,229 ",5.00%,1.478,1.56
AK,2010Q3,"$225,256 ","$213,993 ","$11,263 ",5.00%,1.483,1.352
AK,2010Q4,"$225,874 ","$214,581 ","$11,294 ",5.00%,1.487,1.131
AK,2011Q1,"$226,315 ","$214,999 ","$11,316 ",5.00%,1.49,0.949
AK,2011Q2,"$226,400 ","$215,080 ","$11,320 ",5.00%,1.49,0.793
AK,2011Q3,"$226,244 ","$214,932 ","$11,312 ",5.00%,1.489,0.671
AK,2011Q4,"$226,028 ","$214,727 ","$11,301 ",5.00%,1.488,0.587
AK,2012Q1,"$226,057 ","$214,754 ","$11,303 ",5.00%,1.488,0.548
AK,2012Q2,"$226,635 ","$215,303 ","$11,332 ",5.00%,1.492,0.548
AK,2012Q3,"$227,504 ","$215,839 ","$11,665 ",5.10%,1.497,0.565
AK,2012Q4,"$228,391 ","$216,536 ","$11,856 ",5.20%,1.503,0.574
AK,2013Q1,"$229,163 ","$217,540 ","$11,622 ",5.10%,1.508,0.563
